"Electrodermal activity, mean ","Blood volume pulse, standard deviation","Electrodermal activity, 75th percentile ","Skin Temperature, median ","Electrodermal activity, maximum ","Skin temperature, mean ","Heart rate, maximum ","AU07 (lid tightener), mean","Wrist Acceleration in Y-axis, mean ","AU45, blink count","Gaze angle in Y-axis, mean ","AU06 (cheek raiser), mean","AU04 (brow lowerer), standard deviation","AU14 (dimpler), mean",Productivity,Mood,Stress_Numeric,Stress
0.07928993076,49.50348612,-1.673268495,-0.07970338621,3.080697576,-0.9076647144,2.790116849,1.788349347,-3.3292,4,0.4377827779,0.0120027548,0.870097238,1.429227858,64,15,18,Boredom
0.07229358205,-37.52786806,0.3496185299,0.08011422178,2.345330445,-0.9270408124,-3.464790861,1.742483147,7.8188,10,0.4686469777,0.04474928928,1.182550032,1.67137973,64,15,18,Boredom
0.1111732913,126.6170596,2.948616849,0.4890268602,0.2086033076,-0.9384094414,9.412403884,1.921220329,-3.5104,8,0.4346196767,0.05666622385,0.9930071465,1.747680414,64,15,18,Boredom
0.1325621288,40.75472137,5.690560076,0.3567640122,0.1590502664,-0.9469111987,9.062700807,1.340801395,-3.1896,5,0.4142991476,0.04304687006,0.558870818,0.8779896803,64,15,18,Boredom
0.1666443418,14.7610854,0.4925634375,-0.02238948542,0.3523071271,-0.9720210401,4.179947711,1.351998388,-3.424,7,0.4169829911,0.126465412,1.078580786,1.414988109,64,15,18,Boredom
0.1778384997,38.82773051,4.391060916,-0.5481343062,2.903297689,-1.004248632,-5.000522433,1.464548901,-3.4417,3,0.4695096416,0.03964203161,1.000637917,1.384757199,64,15,18,Boredom
0.1417573299,47.2521876,1.935007505,-0.7366088646,3.386935371,-1.042209967,9.99896869,1.38235468,-0.3927,3,0.4927057172,0.03703833162,0.8570159174,1.585484349,64,15,18,Boredom
-0.06963234888,50.29540017,-1.816213403,-0.02349167582,-0.9469736135,-0.1971748331,20.64312775,0.0395449416,56.3552,10,0.2625661406,-0.02024306815,-0.06439960461,0.7725241636,90,0,0,Boredom
-0.06563443533,35.95421381,-0.3737693356,0.02169813058,-1.453405695,-0.2286115636,22.87874321,0.05082487516,56.1635,6,0.2345774874,-0.02024306815,-0.06439960461,0.9315981452,90,0,0,Boredom
0.02711715897,33.20514075,0.7827849164,0.06137698498,0.7953113156,-0.26064144,18.87970699,0.06592008037,56.2875,3,0.2234587073,-0.02024306815,-0.06439960461,0.9826175648,90,0,0,Boredom
0.02341908894,34.96620676,1.215951303,0.276304113,0.7913470723,-0.2905953058,4.431045986,-0.0355993217,45.449,10,0.2261425508,-0.02024306815,-0.06439960461,0.7879061379,90,0,0,Boredom
-0.04544497191,31.76084036,-0.6639908146,0.110975553,0.8745961816,-0.3127394179,14.67553074,0.09270992258,56.6542,6,0.1393010445,-0.02024306815,-0.06439960461,1.234287986,90,0,0,Boredom
0.0251182022,59.1572955,1.068674732,0.03602660578,3.320534296,-0.3306326513,7.740995162,-0.01436650558,57.8958,7,0.1205141403,-0.02024306815,-0.06439960461,1.226825444,90,0,0,Boredom
0.1185694314,48.45891377,-1.530323588,-0.2284990902,0.3830300127,-0.3527767634,11.30185152,-0.02174822681,57.9052,9,0.2040008422,-0.02024306815,-0.06439960461,1.004167558,90,0,0,Boredom
0.1227672406,57.40000051,-0.08354785662,-0.280302039,-1.319612483,-0.3437807179,-5.467079844,-0.03087170248,48.8979,10,0.2537477978,-0.02024306815,-0.0528171853,0.8939808417,90,0,0,Boredom
0.1219676579,-4.105324101,-0.230824428,-0.3640685094,-0.9489557352,-0.2851581355,6.957985131,-0.001261876881,45.875,4,0.2018921081,-0.0113304028,-0.06085674694,1.159434121,90,0,0,Boredom
0.1185694314,34.7210905,-1.816213403,-0.159061095,0.5703405085,-0.2804129686,20.92957852,-0.02888112597,35.776,7,0.1725615331,-0.02024306815,-0.06385454958,1.048562068,90,0,0,Boredom
